Sl.No.,Towers,,,,,,,,,,,ACCESS ROAD,,Soil Investigation,,Excavation,,Lean Concrete,,Stub Settings,,Concrete,,Backfilling,,Ground Erection,,Crane Erection,,Conductor ,,EW,,OPGW,,,,"ANGLE POINT
NO.","Line Angle
Degrees",Spans,,,,,,,CONDUCTOR,,,,,,,OPGW ,,,,EARTHWIRE,,,,,Warning Spheres,GROUNDING,,,,Towers,
,Construction No.,"Tower
27,26,B30+3,,,,,296141.0,4688978.2,125.9,,,,Not Yet,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,8842.3,4.1,AP10,-13.63,,360,247,0.69,,,,,2T-2T,2,3,,1,1,95-T,1,1, ,95-T,1,1,2,0,,Step-1,,,,,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.71,,,,16.0,353.6,1407.3,400/51,,,,7,,,,,,,,,,,,,,,,,,
28,27,BNS+3,,,,,295964.8,4689295.2,144.9,,,,Not Yet,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,9205.0,5.1,, ,,349,376,1.08,,,,,SS,, ,,1,1,95-S,1,1, ,95-S,1,1,2,0,,Step-1,,,,,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,,,,,,,400/51,,,,7,,,,,,,,,,,,,,,,,,
29,28,BNS+6,,,,,295802.0,4689588.0,152.0,,,,Not Yet,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,9540.0,3,, ,,333,382,1.15,,,,,SS,, ,,1,1,95-S,1,1, ,95-S,1,1,2,0,,Step-1,,,,,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,,,,,400/51,,,,7,,,,,,,,,,,,,,,,,,
30,29,BNS-3,,,,,295641.7,4689876.5,156.4,,,,Not Yet,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,9870.0,5.1,, ,,356,450,1.26,,,,,SS,, ,,1,1,95-S,1,1, ,95-S,1,1,2,0,,Step-1,,,,,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.63,,,,,,,400/51,,,,7,,,,,,,,,,,,,,,,,,
31,30,B60-3,,,,,295457.3,4690208.3,119.1,,,,Not Yet,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,10249.6,3,AP11,-42.84,,376,223,0.59,,,,,2T-2T,2,3,,1,1,95-T,1,1,JB,95-T,1,1,2,0,,Step-1,,,,,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.37,,,,16.0,336.8,1001.0,400/51,,,,7,,,,,,,,,,,,,,,,"TRACK, STREAM, MV OHDL",,
